,firstName,lastName,commonName,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,alternatePositions_0_label,playerAbilities_0_label,playerAbilities_0_description,playerAbilities_0_type_label,playerAbilities_1_label,playerAbilities_1_description,playerAbilities_1_type_label,playerAbilities_2_label,playerAbilities_2_description,playerAbilities_2_type_label,playerAbilities_3_label,playerAbilities_3_description,playerAbilities_3_type_label,playerAbilities_4_label,playerAbilities_4_description,playerAbilities_4_type_label,playerAbilities_5_label,playerAbilities_5_description,playerAbilities_5_type_label,playerAbilities_6_label,playerAbilities_6_description,playerAbilities_6_type_label,nationality,team_name,position_name,position_positionType_name,acceleration,agility,jumping,stamina,strength,aggression,balance,ballControl,composure,crossing,defensiveAwareness,dribbling,finishing,freeKickAccuracy,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes,headingAccuracy,longPassing,penalties,positioning,reactions,shortPassing,shotPower,standingTackle,vision,volleys,alternatePositions_1_label,alternatePositions_2_label
478,Álvaro,Fernández Carreras,Álvaro Carreras,186,3,4,2,LALIGA EA SPORTS,78,Left Midfielder,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,,,,,,,Spain,Real Madrid,Left Back,Defense,84,80,79,89,76,81,74,80,76,78,72,79,65,45,6,7,11,8,14,55,76,43,76,79,76,75,76,76,48,,
479,Gabriel Davi,Gomes Sara,Gabriel Sara,177,4,4,2,Trendyol Süper Lig,79,Center Attacking Midfielder,Power Shot,Faster power shots with increased speed,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,,,,,,,Brazil,Galatasaray,Center Midfielder,Midfielder,75,77,79,81,75,79,76,81,80,82,69,79,73,81,14,14,10,6,9,68,84,50,77,80,83,83,70,83,67,Right Midfielder,
480,Warren,Zaïre-Emery,,178,3,4,1,Ligue 1 McDonald's,68,Center Defensive Midfielder,Tiki Taka,Accurate first-time Ground Passes,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,France,Paris SG,Center Midfielder,Midfielder,80,74,80,88,75,76,84,81,78,68,71,78,66,53,14,11,7,8,15,66,81,59,76,79,82,76,80,79,49,Center Attacking Midfielder,
481,Mauro,Arambarri,,175,3,3,1,LALIGA EA SPORTS,74,Center Defensive Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,,,,,,,Uruguay,Getafe CF,Center Midfielder,Midfielder,75,67,78,84,76,82,77,79,74,64,82,78,82,71,7,13,13,15,7,62,78,61,80,79,81,83,80,79,62,,
482,Curtis,Jones,,185,4,4,1,Premier League,75,Center Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,,,,England,Liverpool,Center Attacking Midfielder,Midfielder,68,74,71,83,74,74,73,82,82,67,72,84,75,51,6,13,7,11,7,55,79,60,79,80,83,77,77,79,69,Center Defensive Midfielder,
483,Elliot,Anderson,,179,3,4,1,Premier League,71,Center Midfielder,Block,Increased reach and success in blocking,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,England,Nott'm Forest,Center Defensive Midfielder,Midfielder,75,76,84,86,73,77,84,81,80,77,75,82,66,57,6,12,5,10,7,76,79,65,76,80,82,74,79,79,63,,
484,Lucas Tolentino,Coelho de Lima,Lucas Paquetá,180,5,4,2,Premier League,72,Left Midfielder,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,,,,,,,,,,Brazil,West Ham,Center Midfielder,Midfielder,69,75,75,76,73,78,76,85,86,74,67,86,78,74,14,9,12,11,11,68,80,82,77,79,80,77,73,80,74,Center Attacking Midfielder,
485,Óscar,Mingueza García,Mingueza,184,2,3,1,LALIGA EA SPORTS,75,Right Midfielder,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,Bruiser,Stronger physical tackles,Play Style,,,,,,,,,,,,,Spain,Celta,Right Back,Defense,78,75,84,82,73,75,62,79,77,79,76,77,62,70,9,10,15,8,13,75,76,55,75,80,79,73,76,76,53,Left Midfielder,
486,Andrey,N. dos Santos,Andrey Santos,180,3,3,1,Premier League,75,Center Defensive Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,Brazil,Chelsea,Center Midfielder,Midfielder,77,77,88,91,75,78,69,80,80,56,69,77,69,52,5,10,15,12,8,81,79,54,77,79,82,73,81,79,53,,
487,Brice,Samba,,187,1,3,2,Ligue 1 McDonald's,90,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,,,,France,Stade Rennais FC,Goalkeeper,Defense,49,39,73,37,78,26,54,36,66,10,12,14,9,13,78,80,80,80,80,15,45,15,11,78,48,60,14,48,13,,
488,Ola,Aina,,184,3,4,1,Premier League,82,Left Back,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,,,,,,,,,,,,,,,,Nigeria,Nott'm Forest,Right Back,Defense,89,71,84,77,75,72,77,74,74,77,79,76,54,48,7,14,10,10,9,68,67,49,68,78,74,77,79,70,52,Right Midfielder,
489,Jonathan,Clauss,,178,3,3,1,Ligue 1 McDonald's,69,Right Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,,,,France,OGC Nice,Right Back,Defense,81,83,75,82,63,67,77,79,77,84,72,76,68,76,15,14,15,8,15,62,67,52,75,82,76,77,76,75,56,,
490,Bernd,Leno,,189,1,3,1,Premier League,83,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,Rush Out,"Unique reflex saves, better close shot reads, faster rush",Play Style,,,,,,,,,,,,,,,,Germany,Fulham,Goalkeeper,Defense,54,51,70,44,70,28,44,35,63,9,27,16,9,8,80,79,76,80,81,13,48,23,7,77,50,57,15,53,10,,
491,Robin,Gosens,,183,3,3,2,Serie A Enilive,76,Left Midfielder,,,,,,,,,,,,,,,,,,,,,,Germany,Fiorentina,Left Back,Defense,76,71,87,86,71,80,67,78,77,76,74,76,78,58,7,16,15,16,10,82,75,55,80,79,77,76,78,67,69,,
492,Douglas Luiz,Soares de Paulo,Douglas Luiz,175,3,2,1,Premier League,66,Center Defensive Midfielder,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,,,,,,,Brazil,Nott'm Forest,Center Midfielder,Midfielder,69,74,70,75,65,77,78,84,84,81,76,79,70,80,12,6,13,10,7,62,81,81,76,77,81,79,78,84,77,,
493,Georgiy,Sudakov,,177,3,4,1,Liga Portugal,68,Center Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,,,,Ukraine,SL Benfica,Center Attacking Midfielder,Midfielder,82,80,79,80,68,68,77,81,73,75,61,83,76,68,13,9,13,12,9,68,80,78,80,78,79,79,58,81,69,Center Defensive Midfielder,
494,Raphaël,Guerreiro,,170,4,2,2,Bundesliga,71,Center Midfielder,Tiki Taka,Accurate first-time Ground Passes,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Inventive+,Fancy and Trivela passes are performed with greatly improved accuracy.,Play Style Plus,,,,,,,Portugal,FC Bayern München,Left Back,Defense,76,90,49,72,49,44,90,89,85,85,75,87,78,78,12,6,8,11,8,42,77,54,79,84,88,79,76,86,79,Right Back,Left Midfielder
495,Mario,Pašalić,,186,4,4,1,Serie A Enilive,80,Center Attacking Midfielder,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,,,,,,,,,,Croatia,Bergamo Calcio,Center Midfielder,Midfielder,68,72,74,83,72,76,57,86,77,68,61,83,80,59,11,13,13,13,14,65,80,61,85,74,83,78,72,78,73,,
496,Noussair,Mazraoui,,183,3,3,1,Premier League,65,Center Back,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Block,Increased reach and success in blocking,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,Morocco,Man Utd,Right Back,Defense,78,76,81,76,69,71,74,81,79,79,76,80,69,42,12,7,13,12,12,73,74,44,76,79,80,68,77,77,56,Right Midfielder,
497,Dominik,Livaković,,188,1,2,1,LALIGA EA SPORTS,79,,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,,,,Croatia,Girona FC,Goalkeeper,Defense,57,65,74,32,75,26,30,28,64,13,24,19,12,11,80,76,71,80,83,13,60,15,11,81,50,53,20,60,10,,
498,Wilfried,Singo,,190,3,2,1,Trendyol Süper Lig,79,Right Back,Precision Header,Performs headers with increased accuracy and power.,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,,,,,,,,,,Côte d'Ivoire,Galatasaray,Center Back,Defense,72,66,89,79,85,84,60,74,75,73,77,74,55,40,11,6,7,13,7,80,70,46,66,79,75,81,81,64,50,,
499,Uğurcan,Çakır,,191,1,3,1,Trendyol Süper Lig,82,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,Turkey,Galatasaray,Goalkeeper,Defense,53,64,70,40,69,34,58,27,60,15,17,17,13,20,81,76,74,80,79,14,27,23,14,77,32,56,18,60,20,,
500,Xaver,Schlager,,174,3,3,2,Bundesliga,78,Center Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Bruiser,Stronger physical tackles,Play Style,,,,,,,,,,Austria,RB Leipzig,Center Defensive Midfielder,Midfielder,74,75,68,77,77,84,78,78,74,59,77,78,66,60,6,8,8,12,7,44,80,56,75,80,80,78,78,78,60,,
501,Lucas,Digne,,178,3,1,2,Premier League,74,Left Midfielder,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,,,,,,,,,,,,,,,,France,Aston Villa,Left Back,Defense,70,72,77,80,69,76,78,77,79,86,77,76,60,83,6,12,9,6,13,73,73,60,73,80,78,81,79,75,68,,
502,Piotr,Zieliński,,180,3,4,1,Serie A Enilive,75,,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,,,,,,,Poland,Lombardia FC,Center Midfielder,Midfielder,78,82,66,65,56,58,79,84,82,73,69,82,74,65,12,9,12,11,6,52,81,62,76,81,84,79,75,84,75,,
503,Kieran,Trippier,,173,3,4,1,Premier League,71,Right Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,,,,,,,,,,England,Newcastle Utd,Right Back,Defense,68,67,78,74,66,76,79,79,80,89,80,76,54,87,11,14,8,11,10,79,83,66,74,81,80,81,80,81,58,,
504,Iñigo,Ruiz de Galarreta,Ruiz de Galarreta,175,3,3,1,LALIGA EA SPORTS,69,Center Midfielder,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,,,,,,,Spain,Athletic Club,Center Defensive Midfielder,Midfielder,73,81,69,84,70,82,87,80,82,74,79,77,60,62,12,6,13,7,12,51,80,47,74,79,80,73,80,79,61,,
505,Anatoliy,Trubin,,199,1,2,1,Liga Portugal,86,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,,,,,,,Ukraine,SL Benfica,Goalkeeper,Defense,49,36,68,33,69,28,45,29,50,11,9,13,9,13,77,76,77,83,84,12,32,18,6,76,37,58,11,64,6,,
506,Ellyes,Skhiri,,185,3,3,1,Bundesliga,74,Center Midfielder,Intercept,Increased reach and possession retention in interceptions,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,,,,Tunisia,Frankfurt,Center Defensive Midfielder,Midfielder,65,74,76,83,69,77,64,74,80,67,82,75,76,55,15,14,8,14,14,75,81,58,75,83,78,75,79,72,60,,
507,Rodrigo,Bentancur,,187,3,4,1,Premier League,73,Center Midfielder,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,,,,,,,,,,,,,,,,,,,Uruguay,Spurs,Center Defensive Midfielder,Midfielder,63,64,70,72,70,78,69,81,82,74,78,81,68,68,8,7,14,14,12,64,80,67,73,78,82,71,80,78,71,,
508,Bryan,Cristante,,186,3,4,1,Serie A Enilive,80,Center Defensive Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,,,,,,,Italy,AS Roma,Center Midfielder,Midfielder,53,62,78,89,78,78,58,79,82,70,79,75,68,66,3,5,3,3,5,76,83,68,76,79,82,83,80,80,72,,
509,Javier,Galán Gil,Javi Galán,172,4,2,2,LALIGA EA SPORTS,70,Left Midfielder,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,,,,,,,,,,,,,,,,,,,Spain,Atlético de Madrid,Left Back,Defense,80,75,81,77,66,81,75,79,75,79,76,80,50,70,14,14,10,6,8,74,77,48,66,78,79,72,79,64,51,,
510,Alex,Iwobi,,180,4,3,1,Premier League,75,Right Midfielder,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,Nigeria,Fulham,Left Midfielder,Midfielder,77,75,69,88,72,59,77,81,81,78,52,84,74,56,14,7,12,14,11,45,74,64,77,79,79,75,64,81,80,Left Wing,
511,Mikkel,Damsgaard,,180,4,3,1,Premier League,70,Center Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,Denmark,Brentford,Center Attacking Midfielder,Midfielder,70,82,65,78,62,68,86,80,81,79,60,81,74,78,6,10,14,11,7,52,82,64,78,80,83,72,74,84,68,,
512,Lewis,Hall,,179,2,3,2,Premier League,71,,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Block,Increased reach and success in blocking,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,England,Newcastle Utd,Left Back,Defense,78,80,71,80,56,60,85,79,75,83,77,79,60,70,14,8,9,8,14,64,76,55,68,79,78,65,79,77,62,,
513,Frederik,Rønnow,,188,1,2,1,Bundesliga,81,,Cross Claimer,"Unique punching animations, powerful punches, faster crosses coverage",Play Style,,,,,,,,,,,,,,,,,,,Denmark,Union Berlin,Goalkeeper,Defense,48,34,67,32,67,17,40,12,31,14,15,13,9,7,80,80,69,78,82,12,30,17,14,76,25,52,11,48,7,,
514,Mohamed,Amoura,,170,4,3,1,Bundesliga,61,Left Wing,Chip Shot,"Faster, more accurate chip shots",Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,Algeria,VfL Wolfsburg,Striker,Attack,94,93,78,86,45,66,93,86,79,63,45,85,83,54,9,7,11,9,9,63,66,74,85,83,77,78,48,75,84,Left Midfielder,Center Attacking Midfielder
515,Bento Matheus,Krepski,Bento,190,1,2,1,ROSHN Saudi League,80,,Deflector,"Unique deflection animations, powerful parries to safer areas",Play Style,,,,,,,,,,,,,,,,,,,Brazil,Al Nassr,Goalkeeper,Defense,39,34,61,19,58,22,34,16,30,11,5,9,5,13,79,76,77,81,83,13,23,15,6,77,17,58,13,69,9,,
516,Franck,Honorat,,180,4,3,1,Bundesliga,70,Right Wing,Power Shot,Faster power shots with increased speed,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,France,M'gladbach,Right Midfielder,Midfielder,82,78,71,80,56,57,76,80,74,92,53,79,74,60,10,15,7,14,15,59,74,68,77,72,76,88,46,76,74,Right Back,
517,Julian,Quiñones,,180,4,3,1,ROSHN Saudi League,78,Left Wing,Chip Shot,"Faster, more accurate chip shots",Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,,,,,,,,,,,,,Mexico,Al Qadsiah,Striker,Attack,89,82,95,87,89,60,68,78,67,58,25,82,83,66,8,12,11,8,12,78,69,78,79,72,74,80,46,81,71,Left Midfielder,
518,Pascal,Groß,,181,3,4,1,Bundesliga,78,Center Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,,,,,,,,,,Germany,Borussia Dortmund,Center Defensive Midfielder,Midfielder,46,68,64,83,73,78,71,83,84,86,77,78,72,78,8,15,15,16,11,57,84,73,81,85,84,80,73,84,70,,
519,Noni,Madueke,,182,4,3,2,Premier League,75,Right Midfielder,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,,,,England,Arsenal,Right Wing,Attack,89,81,76,75,67,67,79,83,77,74,45,85,75,65,5,13,6,12,15,55,67,75,79,76,76,79,45,75,65,,
520,Jack,Grealish,,180,4,3,1,Premier League,81,Left Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Press Proven+,"Exceptional close control at jog speed, shields ball more effectively",Play Style Plus,,,,,,,,,,England,Everton,Left Wing,Attack,75,84,67,69,67,65,85,86,86,80,58,86,76,74,11,6,11,10,13,48,78,58,78,79,81,76,54,80,72,,
521,Benjamin,Henrichs,,185,3,4,1,Bundesliga,84,Right Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Block,Increased reach and success in blocking,Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Bruiser,Stronger physical tackles,Play Style,,,,,,,Germany,RB Leipzig,Right Back,Defense,74,75,77,73,74,72,69,78,78,79,78,79,50,60,8,9,13,12,14,66,72,59,70,79,80,62,81,74,53,Left Back,
522,Tino,Livramento,,181,3,4,1,Premier League,71,Left Back,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,,,,,,,,,,,,,,,,,,,England,Newcastle Utd,Right Back,Defense,80,76,75,80,71,74,79,78,79,79,77,79,49,51,10,12,8,13,13,56,62,41,71,78,77,61,80,68,41,Right Midfielder,
523,Noa,Lang,,179,5,3,1,Serie A Enilive,69,Left Midfielder,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,Holland,SSC Napoli,Left Wing,Attack,84,87,68,78,60,74,83,84,83,69,47,84,80,57,13,7,13,12,12,49,68,73,75,82,77,74,51,77,80,,
524,Benjamin,Šeško,,195,4,4,1,Premier League,86,,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,Slovenia,Man Utd,Striker,Attack,79,75,93,84,83,62,69,81,77,56,45,79,81,56,10,8,5,14,6,82,59,70,81,73,74,85,42,63,75,,
525,Đorđe,Petrović,,194,1,2,1,Premier League,89,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,,,,,,,Serbia,AFC Bournemouth,Goalkeeper,Defense,40,45,67,37,73,27,34,45,62,11,20,20,11,12,80,78,73,78,82,13,50,13,11,79,47,55,15,50,11,,
526,Pedro,Lomba Neto,Pedro Neto,174,4,4,2,Premier League,62,Left Midfielder,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,,,,,,,Portugal,Chelsea,Right Midfielder,Midfielder,92,88,74,73,65,68,88,81,76,78,40,82,75,72,6,13,7,12,6,50,63,65,77,75,76,80,40,76,73,Striker,Right Wing
527,Antoine,Semenyo,,185,3,5,1,Premier League,79,Left Midfielder,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,Enforcer,Performs dribble Shoulder Challenges and Shielding with increased effectiveness.,Play Style,,,,,,,,,,Ghana,AFC Bournemouth,Right Midfielder,Midfielder,78,79,81,84,79,71,74,81,79,74,34,82,83,61,10,11,14,15,7,64,69,69,81,79,74,81,44,76,69,Right Wing,
528,Benjamin,André,,180,3,3,1,Ligue 1 McDonald's,76,Center Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,France,LOSC Lille,Center Defensive Midfielder,Midfielder,54,68,80,90,79,85,72,79,79,70,78,75,61,53,8,14,15,7,10,80,77,66,70,79,78,69,81,72,56,,
529,Steven,Bergwijn,,171,4,1,1,ROSHN Saudi League,78,Left Wing,Power Shot,Faster power shots with increased speed,Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,Holland,Al Ittihad,Left Midfielder,Midfielder,82,76,74,65,79,57,90,83,77,76,47,86,76,65,11,14,12,14,13,60,66,74,79,82,81,83,36,78,75,,
530,Gabriel,Fernando de Jesus,Gabriel Jesus,175,4,3,1,Premier League,73,Center Attacking Midfielder,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,,,,Brazil,Arsenal,Striker,Attack,85,88,85,66,67,82,89,84,78,73,45,87,79,54,13,8,6,6,15,76,66,75,81,80,79,82,30,78,77,,
531,Harvey,Barnes,,185,3,4,1,Premier League,72,Left Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,,,,,,,,,,,,,,,,,,,England,Newcastle Utd,Left Wing,Attack,80,78,70,74,71,53,77,82,77,75,44,82,80,69,6,5,11,8,10,46,68,65,81,79,76,82,43,80,68,,
532,Aaron,Wan-Bissaka,,183,3,2,1,Premier League,72,Right Midfielder,Block,Increased reach and success in blocking,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Slide Tackle+,"Greatly improved slide tackle coverage, stops ball at feet",Play Style Plus,,,,,,,Congo DR,West Ham,Right Back,Defense,79,77,75,75,71,73,70,74,78,72,78,79,46,45,9,8,6,8,8,57,58,44,72,79,75,70,80,68,43,,
533,Pierre,Kalulu,,182,2,3,1,Serie A Enilive,80,,Block,Increased reach and success in blocking,Play Style,,,,,,,,,,,,,,,,,,,France,Juventus,Center Back,Defense,76,73,83,76,73,80,69,74,80,70,82,64,43,44,12,5,13,9,11,75,65,49,60,80,77,66,83,59,54,,
534,Valentin,Castellanos,,178,3,3,1,Serie A Enilive,70,,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,Argentina,Latium,Striker,Attack,78,77,85,85,65,84,74,83,81,58,43,82,84,65,15,6,10,12,8,83,66,73,83,79,79,79,40,79,76,,
535,Nicolas,Pépé,,183,4,2,2,LALIGA EA SPORTS,73,Striker,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,Côte d'Ivoire,Villarreal CF,Right Midfielder,Midfielder,87,91,79,69,74,43,75,82,75,75,36,83,76,79,11,14,11,6,8,57,69,85,76,78,79,82,34,74,70,Right Wing,
